subset,auc,penalty,C,solver
"CBV_corr, DELAY",0.7321428571428571,l2,0.01,lbfgs
"CBV_corr, CTH",0.7678571428571429,l2,0.01,liblinear
"CBV_corr, CTH MAX",0.6785714285714286,l2,0.01,liblinear
"CBV_corr, OEF",0.8214285714285715,,0.01,lbfgs
"CBV_corr, rLEAKAGE",0.7678571428571428,l2,1.0,liblinear
"CBV_corr, rCMRO2",0.6517857142857142,l2,0.01,liblinear
"CBV_corr, COV",0.6875,l1,0.1,liblinear
"CBV_noncorr, DELAY",0.8303571428571428,l2,0.01,liblinear
"CBV_noncorr, CTH",0.8482142857142857,l2,0.1,liblinear
"CBV_noncorr, CTH MAX",0.7678571428571428,l2,0.01,liblinear
"CBV_noncorr, OEF",0.8035714285714286,l2,1.0,liblinear
"CBV_noncorr, rLEAKAGE",0.7678571428571428,l2,0.01,liblinear
"CBV_noncorr, rCMRO2",0.6875,l2,0.01,liblinear
"CBV_noncorr, COV",0.7678571428571428,l2,0.01,liblinear
"DELAY, CTH",0.7232142857142857,l1,10.0,liblinear
"DELAY, CTH MAX",0.6875,l2,0.01,liblinear
"DELAY, OEF",0.6071428571428572,l1,0.1,liblinear
"DELAY, rLEAKAGE",0.6741071428571428,,0.01,lbfgs
"DELAY, rCMRO2",0.6517857142857142,l2,10.0,lbfgs
"DELAY, COV",0.6517857142857143,l2,10.0,liblinear
"CTH, CTH MAX",0.6785714285714285,l2,10.0,liblinear
"CTH, OEF",0.7321428571428571,,0.01,lbfgs
"CTH, rLEAKAGE",0.8125,l2,0.01,liblinear
"CTH, rCMRO2",0.7678571428571428,,0.01,lbfgs
"CTH, COV",0.7767857142857143,l2,0.01,liblinear
"CTH MAX, OEF",0.6696428571428571,l2,10.0,liblinear
"CTH MAX, rLEAKAGE",0.6696428571428571,l2,0.01,liblinear
"CTH MAX, rCMRO2",0.6785714285714286,l2,0.01,liblinear
"CTH MAX, COV",0.6517857142857142,l1,0.1,liblinear
"OEF, rLEAKAGE",0.7589285714285714,l1,1.0,liblinear
"OEF, rCMRO2",0.6607142857142857,l1,1.0,liblinear
"OEF, COV",0.8571428571428571,l2,10.0,liblinear
"rLEAKAGE, rCMRO2",0.6517857142857143,,0.01,lbfgs
"rLEAKAGE, COV",0.7321428571428571,l2,0.01,liblinear
"rCMRO2, COV",0.5892857142857142,,0.01,lbfgs
"CBV_corr, DELAY, CTH",0.7410714285714286,l1,0.1,liblinear
"CBV_corr, DELAY, CTH MAX",0.6875,l2,0.01,liblinear
"CBV_corr, DELAY, OEF",0.7142857142857142,,0.01,lbfgs
"CBV_corr, DELAY, rLEAKAGE",0.7142857142857143,l2,1.0,liblinear
