subset,auc,n_estimators,max_depth,bootstrap,min_samples_split,min_samples_leaf,max_features
"CBV_corr, CBV_noncorr",0.8392857142857143,5,4.0,True,10,4,1
"CBV_corr, DELAY",0.8214285714285714,4,2.0,True,2,1,1
"CBV_corr, CTH",0.8124999999999999,100,,True,10,2,1
"CBV_corr, CTH MAX",0.7812499999999998,100,4.0,True,5,2,1
"CBV_corr, OEF",0.9017857142857143,3,4.0,False,2,2,1
"CBV_corr, rLEAKAGE",0.7723214285714286,2,3.0,True,2,2,1
"CBV_corr, rCMRO2",0.65625,10,3.0,True,2,1,1
"CBV_corr, COV",0.6517857142857142,10,1.0,True,2,1,1
"CBV_noncorr, DELAY",0.8705357142857142,3,1.0,True,2,1,1
"CBV_noncorr, CTH",0.78125,20,3.0,True,2,2,1
"CBV_noncorr, CTH MAX",0.75,2,3.0,True,2,6,1
"CBV_noncorr, OEF",0.8883928571428572,10,4.0,False,5,1,1
"CBV_noncorr, rLEAKAGE",0.7857142857142857,4,,True,5,2,1
"CBV_noncorr, rCMRO2",0.6741071428571428,3,1.0,True,2,1,1
"CBV_noncorr, COV",0.7544642857142856,4,3.0,True,2,2,1
"DELAY, CTH",0.6741071428571428,20,1.0,True,2,1,1
"DELAY, CTH MAX",0.6741071428571429,3,1.0,True,2,1,1
"DELAY, OEF",0.7455357142857143,100,1.0,False,2,1,1
"DELAY, rLEAKAGE",0.7723214285714286,100,1.0,True,2,1,1
"DELAY, rCMRO2",0.75,20,3.0,True,2,6,1
"DELAY, COV",0.7455357142857143,10,2.0,True,2,1,1
"CTH, CTH MAX",0.5669642857142857,10,1.0,True,2,1,1
"CTH, OEF",0.71875,10,2.0,True,2,1,1
"CTH, rLEAKAGE",0.6919642857142857,100,1.0,True,2,1,1
"CTH, rCMRO2",0.5625,3,1.0,True,2,1,1
"CTH, COV",0.6026785714285714,100,1.0,True,2,1,1
"CTH MAX, OEF",0.7098214285714285,10,1.0,True,2,1,1
"CTH MAX, rLEAKAGE",0.6919642857142857,100,1.0,True,2,1,1
"CTH MAX, rCMRO2",0.5446428571428572,2,1.0,True,2,1,1
"CTH MAX, COV",0.5535714285714286,100,1.0,True,2,1,1
"OEF, rLEAKAGE",0.78125,10,3.0,True,2,6,1
"OEF, rCMRO2",0.7142857142857143,10,2.0,True,2,1,1
"OEF, COV",0.7232142857142858,20,2.0,True,2,4,1
"rLEAKAGE, rCMRO2",0.6517857142857143,3,3.0,True,2,4,1
